run	ls	alcatracks	mode	mode_flag	mode_text
278528	73	318	DECO	GOOD	from_both_DB_and_S/N
279894	42	2386	DECO	GOOD	from_both_DB_and_S/N
272391	13	125	DECO	GOOD	from_both_DB_and_S/N
272394	90	12	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
272395	105	16	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
272396	65	38	DECO	GOOD	from_both_DB_and_S/N
272397	694	44519	DECO	GOOD	from_both_DB_and_S/N
272398	364	23569	DECO	GOOD	from_both_DB_and_S/N
272399	36	2045	DECO	GOOD	from_both_DB_and_S/N
272400	79	4921	DECO	GOOD	from_both_DB_and_S/N
272401	74	4461	DECO	GOOD	from_both_DB_and_S/N
274450	20	129	DECO	GOOD	from_both_DB_and_S/N
272403	35	180	DECO	GOOD	from_both_DB_and_S/N
274452	56	3253	DECO	GOOD	from_both_DB_and_S/N
274455	109	6100	DECO	GOOD	from_both_DB_and_S/N
278556	13	54	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
279898	79	4587	DECO	GOOD	from_both_DB_and_S/N
278558	89	4936	DECO	GOOD	from_both_DB_and_S/N
274463	51	2963	DECO	GOOD	from_both_DB_and_S/N
266272	293	627	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
278561	24	1320	DECO	GOOD	from_both_DB_and_S/N
266275	329	672	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
266276	22	210	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
266277	1181	18580	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
266278	189	2910	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
274471	42	2374	DECO	GOOD	from_both_DB_and_S/N
278573	78	4178	DECO	GOOD	from_both_DB_and_S/N
278575	189	10730	DECO	GOOD	from_both_DB_and_S/N
276529	100	772	DECO	GOOD	from_both_DB_and_S/N
278580	357	18077	DECO	GOOD	from_both_DB_and_S/N
281036	105	5843	DECO	GOOD	from_both_DB_and_S/N
274495	171	10275	DECO	GOOD	from_both_DB_and_S/N
281952	30	1439	DECO	GOOD	from_both_DB_and_S/N
274503	124	7524	DECO	GOOD	from_both_DB_and_S/N
276552	68	1190	DECO	GOOD	from_both_DB_and_S/N
274444	20	1081	DECO	GOOD	from_both_DB_and_S/N
274506	81	4608	DECO	GOOD	from_both_DB_and_S/N
274507	215	12494	DECO	GOOD	from_both_DB_and_S/N
274508	36	2102	DECO	GOOD	from_both_DB_and_S/N
274510	776	43494	DECO	GOOD	from_both_DB_and_S/N
274445	148	8681	DECO	GOOD	from_both_DB_and_S/N
278610	1201	66193	DECO	GOOD	from_both_DB_and_S/N
276563	36	680	DECO	GOOD	from_both_DB_and_S/N
274446	27	1521	DECO	GOOD	from_both_DB_and_S/N
276567	63	1142	DECO	GOOD	from_both_DB_and_S/N
276568	33	495	DECO	GOOD	from_both_DB_and_S/N
278700	94	5116	DECO	GOOD	from_both_DB_and_S/N
276570	93	1791	DECO	GOOD	from_both_DB_and_S/N
282715	37	1874	DECO	GOOD	from_both_DB_and_S/N
282718	25	1231	DECO	GOOD	from_both_DB_and_S/N
274448	9	388	DECO	GOOD	from_both_DB_and_S/N
274449	2	4	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
281959	139	7065	DECO	GOOD	from_both_DB_and_S/N
282736	127	6435	DECO	GOOD	from_both_DB_and_S/N
282737	77	3624	DECO	GOOD	from_both_DB_and_S/N
282739	6	235	DECO	GOOD	from_both_DB_and_S/N
276596	25	209	DECO	GOOD	from_both_DB_and_S/N
282741	7	267	DECO	GOOD	from_both_DB_and_S/N
282742	19	911	DECO	GOOD	from_both_DB_and_S/N
282744	44	2278	DECO	GOOD	from_both_DB_and_S/N
282747	20	942	DECO	GOOD	from_both_DB_and_S/N
282751	140	6918	DECO	GOOD	from_both_DB_and_S/N
282765	22	1035	DECO	GOOD	from_both_DB_and_S/N
281965	60	55	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
282768	21	1040	DECO	GOOD	from_both_DB_and_S/N
276627	29	22	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
282774	86	4172	DECO	GOOD	from_both_DB_and_S/N
272538	2	5	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
276637	8	6	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
272546	31	1873	DECO	GOOD	from_both_DB_and_S/N
272547	53	3297	DECO	GOOD	from_both_DB_and_S/N
272548	216	13364	DECO	GOOD	from_both_DB_and_S/N
272549	65	4012	DECO	GOOD	from_both_DB_and_S/N
272550	228	14268	DECO	GOOD	from_both_DB_and_S/N
272551	129	8053	DECO	GOOD	from_both_DB_and_S/N
272553	12	123	DECO	GOOD	from_both_DB_and_S/N
272554	15	133	DECO	GOOD	from_both_DB_and_S/N
272555	61	3601	DECO	GOOD	from_both_DB_and_S/N
272556	45	2698	DECO	GOOD	from_both_DB_and_S/N
278701	1781	96530	DECO	GOOD	from_both_DB_and_S/N
274610	148	5807	DECO	GOOD	from_both_DB_and_S/N
272565	1050	65465	DECO	GOOD	from_both_DB_and_S/N
266423	1434	38385	DECO	GOOD	from_both_DB_and_S/N
272568	11	630	DECO	GOOD	from_both_DB_and_S/N
281313	289	887	DECO	GOOD	from_both_DB_and_S/N
266428	80	2019	DECO	GOOD	from_both_DB_and_S/N
274621	7	187	DECO	GOOD	from_both_DB_and_S/N
272576	75	3883	DECO	GOOD	from_both_DB_and_S/N
274627	1091	43198	DECO	GOOD	from_both_DB_and_S/N
274628	14	481	DECO	GOOD	from_both_DB_and_S/N
274629	131	5062	DECO	GOOD	from_both_DB_and_S/N
274630	69	2647	DECO	GOOD	from_both_DB_and_S/N
